#separator:comma
#html:true
#notetype:COCA-English
#deck column:1
#tags column:13
LEP-English::P04,Word,UUID,UID,Part of Speech,Grammar,Pronunciation/IPA,Audio Link,Definition,Example 1,Example 2,Example 3,Tags
LEP-English::P04,dressed as vs dressed like,8f7e6d5c,12,phrase,grammar,/drest æz vs drest laɪk/,,"'Dressed as' for costume/outfit, 'dressed like' for similarity","He was dressed as Jesus vs He was dressed like a businessman","She was dressed as a witch","He was dressed like his father",LEP-English::2022.06.01 LEP-English::P04
LEP-English::P04,sore,7d6e5f4c,13,adjective,,/sɔː/,,"Painful, especially from use or injury","My legs were very sore","His feet were sore from walking","The muscles were sore after exercise",LEP-English::2022.06.01 LEP-English::P04
LEP-English::P04,hamstring,6c5d4e3b,14,noun,,/ˈhæmstrɪŋ/,,"One of the tendons behind the knee","He pulled his hamstring","The hamstring injury was severe","Stretching helps prevent hamstring injuries",LEP-English::2022.06.01 LEP-English::P04
LEP-English::P04,quads,5b4c3d2a,15,noun,informal,/kwɒdz/,,"The four muscles at the front of the thigh","My quads were burning","Training the quads","She felt pain in her quads",LEP-English::2022.06.01 LEP-English::P04
LEP-English::P04,tendon,4a3b2c1d,16,noun,,/ˈtendən/,,"Tissue connecting muscle to bone","The tendon was inflamed","He damaged his Achilles tendon","Tendons take time to heal",LEP-English::2022.06.01 LEP-English::P04
LEP-English::P04,ligament,3e2d1c0b,17,noun,,/ˈlɪɡəmənt/,,"Tissue connecting bone to bone","She tore a ligament","The knee ligaments were damaged","Ligament injuries are common in sports",LEP-English::2022.06.01 LEP-English::P04
LEP-English::P04,sharp pain,2d1c0b9a,18,noun phrase,,/ʃɑːp peɪn/,,"Sudden, intense pain like a knife","It was just a sharp pain","She felt a sharp pain in her back","The sharp pain came and went",LEP-English::2022.06.01 LEP-English::P04
LEP-English::P04,shade,1c0b9a8d,19,noun,,/ʃeɪd/,,"Area protected from direct sunlight","There's no shade on the course","We sat in the shade","Finding shade during the race",LEP-English::2022.06.01 LEP-English::P04
LEP-English::P04,kept + verb-ing,0b9a8d7e,20,grammar,past habit,/kept/,,"Used to describe repeated actions in the past","I kept needing to stop","She kept falling asleep","He kept making mistakes",LEP-English::2022.06.01 LEP-English::P04
LEP-English::P04,ache,1a2b3c4d,21,noun/verb,,/eɪk/,,"Continuous, dull pain","My legs ached after running","She had a headache","His muscles were aching",LEP-English::2022.06.01 LEP-English::P04
LEP-English::P04,hurt vs injured,2b3c4d5e,22,verbs,,/hɜːt vs ˈɪndʒəd/,,"'Hurt' for pain, 'injured' for damage","My leg hurts vs I've injured my leg","She hurt herself","He was injured in the accident",LEP-English::2022.06.01 LEP-English::P04
LEP-English::P04,bruised,3c4d5e6f,23,adjective,,/bruːzd/,,"Having a dark mark from an injury","My knee was badly bruised","The fruit was bruised","He had a bruised shoulder",LEP-English::2022.06.01 LEP-English::P04
LEP-English::P04,inflamed,4d5e6f7g,24,adjective,,/ɪnˈfleɪmd/,,"Swollen and painful due to injury or infection","The muscle was inflamed","Her joints were inflamed","The inflamed tissue needed rest",LEP-English::2022.06.01 LEP-English::P04
LEP-English::P04,swollen,5e6f7g8h,25,adjective,,/ˈswəʊlən/,,"Enlarged, usually due to injury or illness","His ankle was swollen","The knee became swollen","She had swollen glands",LEP-English::2022.06.01 LEP-English::P04 
