#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
AllEnglish::LEP::P18,"take the piss out of","","","idiom","separable","[teɪk ðə pɪs aʊt ɒv]","","To mock, tease, or make fun of someone, often in a friendly or joking way (British slang).","They always take the piss out of him for supporting that football team.","Don't get upset, I was only taking the piss.","He takes the piss out of himself before anyone else can.","C1"
AllEnglish::LEP::P18,"greenlight","","","verb","transitive","[ˈɡriːnlaɪt]","","To give permission for a project to proceed (often used in film/TV).","The studio greenlit the sequel.","We are waiting for them to greenlight the project.","Once it's greenlit, we can start casting.","C1"
AllEnglish::LEP::P18,"cameo","","","noun","countable","[ˈkæmɪəʊ]","","A small character part in a play or movie, played by a distinguished actor or a celebrity.","Stan Lee made a cameo in every Marvel movie.","She had a brief cameo as a waitress.","The director made a cameo appearance.","C1"
AllEnglish::LEP::P18,"typecast","","","verb","transitive","[ˈtaɪpkɑːst]","","To assign (an actor or actress) repeatedly to the same type of role, as a result of their appearance or previous success.","He didn't want to be typecast as a villain.","After playing a doctor for years, she was typecast.","Actors often try to avoid being typecast.","C2"
AllEnglish::LEP::P18,"binge-watch","","","verb","transitive","[bɪndʒ wɒtʃ]","","To watch multiple episodes of a television program in rapid succession.","I binge-watched the whole season in one weekend.","We are planning to binge-watch 'The Office'.","Binge-watching has become the norm for consuming TV.","B2"
AllEnglish::LEP::P18,"cliffhanger","","","noun","countable","[ˈklɪfˌhæŋə]","","A dramatic and exciting ending to an episode of a serial, leaving the audience in suspense and anxious not to miss the next episode.","The season ended on a massive cliffhanger.","I hate it when episodes end on a cliffhanger.","The cliffhanger kept us guessing for months.","C1"
AllEnglish::LEP::P18,"spoiler","","","noun","countable","[ˈspɔɪlə]","","A description of an important plot development in a television show, movie, or book which if previously known may reduce surprise or suspense for a first-time viewer or reader.","Please don't give me any spoilers!","The review contained a major spoiler.","I avoided social media to avoid spoilers.","B2"
AllEnglish::LEP::P18,"spin-off","","","noun","countable","[ˈspɪn ɒf]","","A television program, movie, video game, etc. derived from one or more already existing works.","'Better Call Saul' is a spin-off of 'Breaking Bad'.","The character was so popular he got his own spin-off.","Spin-offs are rarely as good as the original.","B2"
AllEnglish::LEP::P18,"showrunner","","","noun","countable","[ˈʃəʊˌrʌnə]","","The person who has overall creative authority and management responsibility for a television program.","The showrunner decides the direction of the plot.","She is the creator and showrunner of the hit series.","Being a showrunner involves writing, producing, and managing.","C2"
AllEnglish::LEP::P18,"sitcom","","","noun","countable","[ˈsɪtkɒm]","","Situational comedy; a genre of comedy centered on a fixed set of characters who carry over from episode to episode.","'Friends' is one of the most famous sitcoms.","He writes for a popular sitcom.","I love watching 90s sitcoms.","B1"
AllEnglish::LEP::P18,"box set","","","noun","countable","[bɒks sɛt]","","A set of items, for example, a series of books or recordings, packaged together in a box.","I bought the complete box set of the series.","We spent the weekend watching a box set.","Box sets make great gifts for fans.","B2"
AllEnglish::LEP::P18,"prime time","","","noun","uncountable","[praɪm taɪm]","","The regularly occurring time at which a television or radio audience is expected to be greatest.","The show is broadcast during prime time.","Prime time TV advertising is very expensive.","He finally got a slot on prime time television.","B2"
AllEnglish::LEP::P18,"watershed","","","noun","singular","[ˈwɔːtəʃɛd]","","(In the UK) the time (usually 9 p.m.) after which programmes that are regarded as unsuitable for children may be broadcast.","You can't say that word before the watershed.","Violence is usually restricted to after the watershed.","The watershed protects children from adult content.","C2"
AllEnglish::LEP::P18,"fish out of water","","","idiom","","[fɪʃ aʊt ɒv ˈwɔːtə]","","A person in a completely unsuitable or uncomfortable environment.","As a foreigner in rural Japan, he felt like a fish out of water.","I felt like a fish out of water at the fancy party.","The comedy comes from him being a fish out of water.","C1"
AllEnglish::LEP::P18,"lost in translation","","","idiom","","[lɒst ɪn trænsˈleɪʃən]","","(Of a joke, remark, or meaning) having lost its significance or effectiveness when translated into another language.","The humor was completely lost in translation.","Some nuances are inevitably lost in translation.","I think my sarcasm was lost in translation.","C1"
AllEnglish::LEP::P18,"etiquette","","","noun","uncountable","[ˈɛtɪkɛt]","","The customary code of polite behavior in society or among members of a particular profession or group.","Japanese business etiquette is very complex.","You should learn the dining etiquette of the country.","It is considered bad etiquette to speak loudly on the train.","C1"
AllEnglish::LEP::P18,"hierarchy","","","noun","countable","[ˈhaɪərɑːki]","","A system or organization in which people or groups are ranked one above the other according to status or authority.","There is a strict hierarchy in the company.","He is at the bottom of the social hierarchy.","Respect for hierarchy is important in many cultures.","C1"
AllEnglish::LEP::P18,"tatemae","","","noun","uncountable","[tætəˈmeɪ]","","(In Japanese culture) the behavior and opinions one displays in public (as opposed to one's true feelings, 'honne').","He is a master of tatemae.","Understanding the difference between honne and tatemae is crucial.","It was just tatemae; he didn't mean it.","C2"
AllEnglish::LEP::P18,"honne","","","noun","uncountable","[ˈhɒneɪ]","","(In Japanese culture) a person's true feelings and desires.","You rarely hear his honne in business meetings.","Alcohol often helps people reveal their honne.","The conflict between tatemae and honne.","C2"
AllEnglish::LEP::P18,"salaryman","","","noun","countable","[ˈsælərimæn]","","A Japanese white-collar worker or businessman.","The life of a typical salaryman can be stressful.","Commuter trains are full of salarymen.","He works as a salaryman in Tokyo.","C1"
AllEnglish::LEP::P18,"izakaya","","","noun","countable","[ˌiːzəˈkaɪə]","","A type of informal Japanese bar that serves alcoholic drinks and snacks.","We went to an izakaya after work.","Izakayas are great places to socialize.","They serve delicious food at the local izakaya.","C1"
AllEnglish::LEP::P18,"dubbed","","","adjective","","[dʌbd]","","(Of a movie or programme) provided with a soundtrack in a different language from the original.","I prefer watching subtitled movies to dubbed ones.","The show is dubbed into French.","Badly dubbed kung fu movies are funny.","B2"
AllEnglish::LEP::P18,"subtitles","","","noun","plural","[ˈsʌbtaɪtlz]","","Captions displayed at the bottom of a movie or television screen that translate or transcribe the dialogue or narrative.","I watch foreign films with subtitles.","Turn on the subtitles so I can understand.","The subtitles were out of sync.","B1"
AllEnglish::LEP::P18,"barrier","","","noun","countable","[ˈbærɪə]","","A circumstance or obstacle that keeps people or things apart or prevents communication or progress.","The language barrier can be a problem.","Humor helps break down barriers between people.","We need to remove barriers to trade.","B2"
AllEnglish::LEP::P18,"alienation","","","noun","uncountable","[ˌeɪliəˈneɪʃən]","","The state or experience of being isolated from a group or an activity to which one should belong or in which one should be involved.","Living in a big city can cause feelings of alienation.","The movie explores the alienation of modern life.","He felt a sense of alienation from his family.","C2"
AllEnglish::LEP::P18,"integration","","","noun","uncountable","[ˌɪntɪˈɡreɪʃən]","","The action or process of integrating.","Integration into a new society takes time.","We are working on the integration of the new software.","Cultural integration is a two-way process.","C1"
AllEnglish::LEP::P18,"monologue","","","noun","countable","[ˈmɒnəlɒɡ]","","A long speech by one actor in a play or movie, or as part of a theatrical or broadcast program.","The comedian started with a ten-minute monologue.","He delivered a powerful monologue at the end of the play.","She auditioned with a Shakespearean monologue.","C1"
AllEnglish::LEP::P18,"voiceover","","","noun","countable","[ˈvɔɪsˌəʊvə]","","A piece of narration in a movie or broadcast, not accompanied by an image of the speaker.","The documentary features a voiceover by a famous actor.","She works as a voiceover artist.","The voiceover explains the plot.","C1"
AllEnglish::LEP::P18,"break a leg","","","idiom","","[breɪk ə lɛɡ]","","Used to wish a performer good luck (theatrical slang).","Break a leg at your audition today!","I told him to break a leg before he went on stage.","'Break a leg', she whispered from the wings.","C1"
AllEnglish::LEP::P18,"in the wings","","","idiom","","[ɪn ðə wɪŋz]","","Waiting to do something or to appear (referring to the sides of a stage).","There are other candidates waiting in the wings.","He waited in the wings for his cue.","A replacement is ready in the wings.","C2"
AllEnglish::LEP::P18,"cue","","","noun","countable","[kjuː]","","A thing said or done that serves as a signal to an actor or other performer to enter or to begin their speech or performance.","That was my cue to enter the stage.","He missed his cue and the scene stopped.","Wait for the musical cue.","C1"
AllEnglish::LEP::P18,"prop","","","noun","countable","[prɒp]","","A portable object other than furniture or costumes used on the set of a play or movie.","The comedian used a lot of props in his act.","Make sure all the props are in the right place.","He tripped over a prop backstage.","C1"
AllEnglish::LEP::P18,"set","","","noun","countable","[sɛt]","","The scenery and furniture used on a stage or in a studio; also a comedian's performance list.","The set for the sitcom looked like a real apartment.","He did a 20-minute set at the comedy club.","They are building the set for the new movie.","B2"
AllEnglish::LEP::P18,"gig","","","noun","countable","[ɡɪɡ]","","A live performance by a musician or other performer (informal).","He has a gig at the local pub tonight.","Getting a gig on TV is a big break.","She does stand-up gigs on weekends.","C1"
AllEnglish::LEP::P18,"material","","","noun","uncountable","[məˈtɪərɪəl]","","The matter from which a thing is or can be made; in comedy, the jokes and stories a comedian uses.","He is testing out new material for his tour.","Comedians get material from their daily lives.","Some of his material is quite offensive.","B2"
AllEnglish::LEP::P18,"dry humor","","","noun phrase","uncountable","[draɪ ˈhjuːmə]","","A form of subtle humor, often delivered with a serious expression.","British people are known for their dry humor.","I love his dry humor and wit.","You might miss the joke if you don't appreciate dry humor.","C2"
AllEnglish::LEP::P18,"witty","","","adjective","","[ˈwɪti]","","Showing or characterized by quick and inventive verbal humor.","He is a very witty speaker.","The script is full of witty dialogue.","She made a witty remark about the situation.","C1"
AllEnglish::LEP::P18,"satire","","","noun","uncountable","[ˈsætaɪə]","","The use of humor, irony, exaggeration, or ridicule to expose and criticize people's stupidity or vices, particularly in the context of contemporary politics and other topical issues.","The show is a biting satire of the political system.","Satire is a powerful tool for social commentary.","Jonathan Swift was a master of satire.","C2"
AllEnglish::LEP::P18,"irony","","","noun","uncountable","[ˈaɪərəni]","","The expression of one's meaning by using language that normally signifies the opposite, typically for humorous or emphatic effect.","The irony is that he hates flying but is a pilot.","She didn't catch the irony in his voice.","Life is full of cruel ironies.","C1"
AllEnglish::LEP::P18,"self-deprecating","","","adjective","","[sɛlf ˈdɛprɪkeɪtɪŋ]","","Modest about or critical of oneself, especially humorously so.","He has a self-deprecating sense of humor.","Self-deprecating jokes can make you seem more likeable.","She made a self-deprecating comment about her cooking.","C2"
AllEnglish::LEP::P18,"relatable","","","adjective","","[rɪˈleɪtəbl]","","Enabling a person to feel that they can relate to someone or something.","His comedy is very relatable because he talks about family life.","The main character is flawed but relatable.","She shares relatable stories on her blog.","B2"
AllEnglish::LEP::P18,"cringe","","","verb/adjective","intransitive","[krɪndʒ]","","To feel embarrassed or ashamed on behalf of someone else; comedy that derives humor from social awkwardness.","The cringe comedy in 'The Office' is brilliant.","I cringed when he started singing.","It was a cringeworthy moment.","C1"
AllEnglish::LEP::P18,"flop","","","verb/noun","intransitive","[flɒp]","","(Of a performer or show) to fail completely.","The new movie flopped at the box office.","His first joke flopped, but he recovered.","The show was a complete flop.","C1"
AllEnglish::LEP::P18,"bomb","","","verb","intransitive","[bɒm]","","(Of a comedian) to fail badly during a performance (US slang, also used in UK comedy).","I bombed on stage last night; nobody laughed.","It's a nightmare for a comedian to bomb.","Even famous comedians bomb sometimes.","C2"
