#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
"AllEnglish::LEP::EP0908","bits and bobs","","","noun phrase","Informal","[bɪts ənd bɒbz]","","Small things or jobs of various kinds; miscellaneous items.","I have a few bits and bobs to finish before I can leave work.","The drawer is full of bits and bobs like screws and batteries.","We talked about various bits and bobs during the podcast.","C1"
"AllEnglish::LEP::EP0908","regret doing","","","verb pattern","Grammar","[rɪˈgrɛt ˈduːɪŋ]","","To feel sorry or remorse about something that happened in the past.","I regret saying those mean things to him.","She regrets leaving her job.","Do you regret buying that expensive car?","C1"
"AllEnglish::LEP::EP0908","regret to say","","","verb pattern","Grammar","[rɪˈgrɛt tuː seɪ]","","Used to introduce bad news or express apologies formally.","I regret to tell you that your application was unsuccessful.","We regret to inform passengers that the train is cancelled.","I regret to say I cannot attend the wedding.","C1"
"AllEnglish::LEP::EP0908","remember doing","","","verb pattern","Grammar","[rɪˈmɛmbər ˈduːɪŋ]","","To have a memory of a past action or event.","I remember locking the door when I left.","Do you remember meeting him at the party?","I don't remember saying that.","B2"
"AllEnglish::LEP::EP0908","remember to do","","","verb pattern","Grammar","[rɪˈmɛmbər tuː duː]","","To not forget to perform a required task.","Please remember to lock the door when you leave.","I must remember to call my mother.","Did you remember to buy milk?","B2"
"AllEnglish::LEP::EP0908","forget doing","","","verb pattern","Grammar","[fərˈgɛt ˈduːɪŋ]","","To lose the memory of a past event (usually used in negative sentences: 'I'll never forget...').","I'll never forget seeing the Grand Canyon for the first time.","She won't forget meeting her idol.","Have you forgotten telling me that story?","B2"
"AllEnglish::LEP::EP0908","forget to do","","","verb pattern","Grammar","[fərˈgɛt tuː duː]","","To fail to perform a task because one did not remember.","I forgot to bring my keys.","Don't forget to email the report.","He often forgets to brush his teeth.","B2"
"AllEnglish::LEP::EP0908","go on doing","","","verb pattern","Grammar","[goʊ ɒn ˈduːɪŋ]","","To continue performing the same action.","She went on talking even though I asked her to stop.","He went on working despite his illness.","The noise went on all night.","B2"
"AllEnglish::LEP::EP0908","go on to do","","","verb pattern","Grammar","[goʊ ɒn tuː duː]","","To proceed to perform a new or different action after finishing the previous one.","After introducing himself, he went on to explain the plan.","She won the match and went on to play in the final.","He failed his exams but went on to become a successful businessman.","C1"
"AllEnglish::LEP::EP0908","mean doing","","","verb pattern","Grammar","[miːn ˈduːɪŋ]","","To involve or entail; to have as a result.","Taking this job means moving to a new city.","This means spending less money on luxuries.","Starting a business means working long hours.","B2"
"AllEnglish::LEP::EP0908","mean to do","","","verb pattern","Grammar","[miːn tuː duː]","","To intend or plan to do something.","I meant to call you, but I forgot.","I didn't mean to hurt your feelings.","She means to succeed in her career.","B2"
"AllEnglish::LEP::EP0908","economic","","","adjective","","[ˌiːkəˈnɒmɪk]","","Relating to economics or the economy of a country.","The government's economic policy is controversial.","We are facing an economic crisis.","Economic growth has slowed down.","B2"
"AllEnglish::LEP::EP0908","economical","","","adjective","","[ˌiːkəˈnɒmɪkəl]","","Giving good value or return in relation to the money, time, or effort spent; cheap to run.","This car is very economical on fuel.","It is more economical to buy in bulk.","She is an economical shopper.","C1"
"AllEnglish::LEP::EP0908","historic","","","adjective","","[hɪˈstɒrɪk]","","Famous or important in history, or potentially so.","It was a historic victory for the team.","We visited a historic battlefield.","Today is a historic day for our country.","B2"
"AllEnglish::LEP::EP0908","historical","","","adjective","","[hɪˈstɒrɪkəl]","","Concerning history; concerning past events.","He writes historical novels.","There is no historical evidence for that claim.","We visited a museum of historical artifacts.","B2"
"AllEnglish::LEP::EP0908","classic","","","adjective","","[ˈklæsɪk]","","Judged over a period of time to be of the highest quality and outstanding of its kind; typical.","This is a classic example of his work.","She wore a classic black dress.","It's a classic movie from the 50s.","B2"
"AllEnglish::LEP::EP0908","classical","","","adjective","","[ˈklæsɪkəl]","","Relating to ancient Greek or Latin literature, art, or culture; (of music) serious or conventional music following long-established principles.","He listens to classical music like Beethoven.","She studies classical architecture.","Classical ballet requires years of training.","B2"
"AllEnglish::LEP::EP0908","comic","","","adjective","","[ˈkɒmɪk]","","Causing or meant to cause laughter; relating to comedy.","He is a comic actor.","It was a comic performance.","I enjoy reading comic books.","B2"
"AllEnglish::LEP::EP0908","comical","","","adjective","","[ˈkɒmɪkəl]","","Amusing, especially in a way that is ludicrous or absurd (often unintentionally).","He looked comical in that hat.","The situation was quite comical.","She had a comical expression on her face.","C1"
"AllEnglish::LEP::EP0908","electric","","","adjective","","[ɪˈlɛktrɪk]","","Worked by or charged with electricity; exciting.","I bought an electric guitar.","The atmosphere in the stadium was electric.","Electric cars are becoming more popular.","B1"
"AllEnglish::LEP::EP0908","electrical","","","adjective","","[ɪˈlɛktrɪkəl]","","Concerned with, operating by, or producing electricity (usually regarding equipment or engineering).","He is an electrical engineer.","There was an electrical fault in the system.","Electrical appliances should be checked regularly.","B2"
"AllEnglish::LEP::EP0908","magic","","","adjective","","[ˈmædʒɪk]","","Used in magic tricks or illusion; supernatural.","He performed a magic trick.","She has a magic wand.","Do you believe in magic spells?","B1"
"AllEnglish::LEP::EP0908","magical","","","adjective","","[ˈmædʒɪkəl]","","Beautiful or delightful in a way that seems removed from everyday life; enchanting.","It was a magical evening.","The forest looked magical in the snow.","Disney World is a magical place.","B2"
"AllEnglish::LEP::EP0908","politic","","","adjective","","[ˈpɒlɪtɪk]","","(Of an action) seeming sensible and judicious under the circumstances; prudent (rarely used).","It would be politic to keep quiet.","He made a politic decision to withdraw.","It wasn't politic to ask about his salary.","C2"
"AllEnglish::LEP::EP0908","political","","","adjective","","[pəˈlɪtɪkəl]","","Relating to the government or the public affairs of a country.","He has strong political views.","It is a political party.","The political situation is unstable.","B1"
"AllEnglish::LEP::EP0908","typo","","","noun","informal","[ˈtaɪpoʊ]","","A typographical error; a mistake in typing.","There is a typo in the email address.","I spotted a typo in the title.","Sorry for the typo in my text.","B2"
"AllEnglish::LEP::EP0908","slip of the tongue","","","idiom","","[slɪp ɒv ðə tʌŋ]","","A minor error in speech.","It was just a slip of the tongue; I meant to say 'Tuesday'.","A Freudian slip is a specific kind of slip of the tongue.","Be careful not to make a slip of the tongue.","C1"
"AllEnglish::LEP::EP0908","bear in mind","","","idiom","","[bɛər ɪn maɪnd]","","To remember a fact or piece of information that is important or could be useful in the future.","Please bear in mind that the shop closes early on Sundays.","Bear in mind that it takes time to learn a language.","You should bear his advice in mind.","C1"
"AllEnglish::LEP::EP0908","pet peeve","","","noun","","[pɛt piːv]","","Something that a particular person finds especially annoying.","One of my pet peeves is people chewing with their mouths open.","Littering is a major pet peeve of mine.","He has a pet peeve about bad grammar.","C1"
"AllEnglish::LEP::EP0908","bugbear","","","noun","","[ˈbʌgbɛər]","","A cause of obsessive fear, irritation, or loathing.","Paperwork is the main bugbear of the job.","My particular bugbear is slow internet.","Spiders are a childhood bugbear for many.","C2"
"AllEnglish::LEP::EP0908","faff around","","","phrasal verb","British Informal","[fæf əˈraʊnd]","","To spend time in an ineffectual or trivial activity; to waste time.","Stop faffing around and get ready!","I spent the morning faffing around on the internet.","We faffed around for ages trying to fix it.","C1"
"AllEnglish::LEP::EP0908","ramble","","","verb","","[ˈræmbəl]","","To talk or write at length in a confused or inconsequential way.","He tends to ramble when he is nervous.","I didn't mean to ramble on for so long.","His speech was just a long ramble.","C1"
"AllEnglish::LEP::EP0908","waffle","","","verb","British Informal","[ˈwɒfəl]","","To speak or write at length in a vague or trivial manner.","Stop waffling and get to the point.","His essay was full of waffle.","She waffled for ten minutes without saying anything.","C1"
"AllEnglish::LEP::EP0908","tangent","","","noun","","[ˈtændʒənt]","","A completely different line of thought or action.","The professor went off on a tangent about his cats.","Let's try to stick to the topic and avoid tangents.","He always goes off on tangents.","C1"
"AllEnglish::LEP::EP0908","connoisseur","","","noun","","[ˌkɒnəˈsɜːr]","","An expert judge in matters of taste (e.g., wine, art).","He is a wine connoisseur.","She is a connoisseur of fine art.","They are connoisseurs of classical music.","C2"
"AllEnglish::LEP::EP0908","layman","","","noun","","[ˈleɪmən]","","A person without professional or specialized knowledge in a particular subject.","In layman's terms, it means the computer is broken.","To a layman, the legal jargon was confusing.","He explained the theory so a layman could understand.","C1"
"AllEnglish::LEP::EP0908","jargon","","","noun","","[ˈdʒɑːrgən]","","Special words or expressions that are used by a particular profession or group and are difficult for others to understand.","Medical jargon can be confusing for patients.","He used too much technical jargon.","Avoid using legal jargon in the letter.","C1"
"AllEnglish::LEP::EP0908","vernacular","","","noun","","[vərˈnækjʊlər]","","The language or dialect spoken by the ordinary people in a particular country or region.","He wrote in the vernacular to reach a wider audience.","Architecture in the local vernacular style.","The play uses the vernacular of the streets.","C2"
"AllEnglish::LEP::EP0908","enunciate","","","verb","","[ɪˈnʌnsieɪt]","","To say or pronounce words clearly.","You need to enunciate your words so people can understand you.","She enunciates very clearly.","Actors are trained to enunciate.","C1"
"AllEnglish::LEP::EP0908","mumble","","","verb","","[ˈmʌmbəl]","","To say something indistinctly and quietly, making it difficult for others to hear.","Stop mumbling and speak up!","He mumbled an apology.","She was mumbling to herself.","B2"
"AllEnglish::LEP::EP0908","ambiguous","","","adjective","","[æmˈbɪgjuəs]","","(Of language) open to more than one interpretation; having a double meaning.","The ending of the movie was ambiguous.","His reply was ambiguous.","Legal texts should not be ambiguous.","C1"
"AllEnglish::LEP::EP0908","nuance","","","noun","","[ˈnjuːɑːns]","","A subtle difference in or shade of meaning, expression, or sound.","It is difficult to translate the nuances of the poem.","He understood the nuance of her tone.","There are many nuances in this debate.","C1"
"AllEnglish::LEP::EP0908","coherent","","","adjective","","[koʊˈhɪərənt]","","(Of an argument, theory, or policy) logical and consistent.","He proposed a coherent plan for the future.","The essay was not very coherent.","She gave a coherent explanation.","B2"
"AllEnglish::LEP::EP0908","articulate","","","adjective","","[ɑːrˈtɪkjʊlət]","","(Of a person or a person's words) having or showing the ability to speak fluently and coherently.","She is an articulate speaker.","He struggled to be articulate when angry.","The articulate student gave a great speech.","C1"
"AllEnglish::LEP::EP0908","eloquent","","","adjective","","[ˈɛləkwənt]","","Fluent or persuasive in speaking or writing.","He gave an eloquent speech.","Her silence was eloquent.","An eloquent defense of human rights.","C1"
"AllEnglish::LEP::EP0908","get to the point","","","idiom","","[gɛt tuː ðə pɔɪnt]","","To stop talking about unimportant details and say what is most important.","Please stop waffling and get to the point.","It took him a long time to get to the point.","Let's get to the point: we need more money.","B2"
"AllEnglish::LEP::EP0908","beat around the bush","","","idiom","","[biːt əˈraʊnd ðə bʊʃ]","","To discuss a matter without coming to the point.","Stop beating around the bush and tell me the truth.","He beat around the bush for ten minutes.","Don't beat around the bush.","C1"
"AllEnglish::LEP::EP0908","in a nutshell","","","idiom","","[ɪn ə ˈnʌtʃɛl]","","In the fewest possible words.","In a nutshell, the project was a failure.","To put it in a nutshell, we are broke.","Tell me the story in a nutshell.","B2"
"AllEnglish::LEP::EP0908","ambivalent","","","adjective","","[æmˈbɪvələnt]","","Having mixed feelings or contradictory ideas about something or someone.","I am ambivalent about the new job offer.","She felt ambivalent towards him.","The public is ambivalent about the war.","C2"
"AllEnglish::LEP::EP0908","indifferent","","","adjective","","[ɪnˈdɪfrənt]","","Having no particular interest or sympathy; unconcerned.","He was indifferent to their suffering.","She seemed indifferent to the result.","They are indifferent to politics.","C1"
"AllEnglish::LEP::EP0908","sarcastic","","","adjective","","[sɑːrˈkæstɪk]","","Marked by or given to using irony in order to mock or convey contempt.","He made a sarcastic comment about my clothes.","Don't be so sarcastic.","She has a sarcastic sense of humor.","B2"
"AllEnglish::LEP::EP0908","figurative","","","adjective","","[ˈfɪgjʊrətɪv]","","Departing from a literal use of words; metaphorical.","He used the word in a figurative sense.","It is meant to be figurative, not literal.","Figurative language adds color to writing.","C1"
"AllEnglish::LEP::EP0908","metaphor","","","noun","","[ˈmɛtəfɔːr]","","A figure of speech in which a word or phrase is applied to an object or action to which it is not literally applicable.","'The world is a stage' is a metaphor.","He used a football metaphor to explain the situation.","Mixed metaphors can be funny.","B2"
"AllEnglish::LEP::EP0908","hyperbole","","","noun","","[haɪˈpɜːrbəli]","","Exaggerated statements or claims not meant to be taken literally.","'I've told you a million times' is hyperbole.","The advertisement was full of hyperbole.","He is prone to hyperbole.","C2"
"AllEnglish::LEP::EP0908","euphemism","","","noun","","[ˈjuːfəmɪzəm]","","A mild or indirect word or expression substituted for one considered to be too harsh or blunt.","'Passed away' is a euphemism for 'died'.","He used a euphemism to describe the problem.","Political language is full of euphemisms.","C2"
"AllEnglish::LEP::EP0908","connotation","","","noun","","[ˌkɒnəˈteɪʃən]","","An idea or feeling that a word invokes in addition to its literal or primary meaning.","The word 'cheap' has a negative connotation.","'Childish' has a different connotation to 'childlike'.","Be aware of the cultural connotations.","C1"
"AllEnglish::LEP::EP0908","gist","","","noun","","[dʒɪst]","","The substance or essence of a speech or text.","I didn't understand every word, but I got the gist.","Can you give me the gist of what he said?","Read the text to get the gist.","C1"
"AllEnglish::LEP::EP0908","elaborate","","","verb","","[ɪˈlæbəreɪt]","","To develop or present (a theory, policy, or system) in detail.","Can you elaborate on that point?","He refused to elaborate further.","She elaborated on her plan.","C1"
"AllEnglish::LEP::EP0908","clarify","","","verb","","[ˈklærɪfaɪ]","","To make (a statement or situation) less confused and more clearly comprehensible.","Could you clarify what you mean?","I need to clarify a few points.","The meeting was held to clarify the rules.","B2"
"AllEnglish::LEP::EP0908","sincere","","","adjective","","[sɪnˈsɪər]","","Free from pretense or deceit; proceeding from genuine feelings.","Please accept my sincere apologies.","He seems sincere in his beliefs.","A sincere compliment.","B2"
"AllEnglish::LEP::EP0908","insincere","","","adjective","","[ˌɪnsɪnˈsɪər]","","Not expressing genuine feelings.","His apology sounded insincere.","An insincere smile.","She was accused of being insincere.","C1"
"AllEnglish::LEP::EP0908","faze","","","verb","","[feɪz]","","To disturb or disconcert (someone).","The bad news didn't faze him.","She wasn't fazed by the criticism.","Nothing seems to faze her.","C2"
"AllEnglish::LEP::EP0908","unfazed","","","adjective","","[ʌnˈfeɪzd]","","Not disconcerted or perturbed.","He remained unfazed by the chaos.","She appeared unfazed by the question.","The team was unfazed by the early goal.","C2"
"AllEnglish::LEP::EP0908","fanatic","","","noun","","[fəˈnætɪk]","","A person filled with excessive and single-minded zeal, especially for an extreme religious or political cause.","He is a fitness fanatic.","A religious fanatic.","She is a fanatic about cleanliness.","B2"
"AllEnglish::LEP::EP0908","fanatical","","","adjective","","[fəˈnætɪkəl]","","Filled with excessive and single-minded zeal.","He is fanatical about his hobby.","Her fanatical devotion to the leader.","They are fanatical supporters.","C1"
"AllEnglish::LEP::EP0908","pronunciation","","","noun","","[prəˌnʌnsiˈeɪʃən]","","The way in which a word is pronounced.","His pronunciation is excellent.","English pronunciation can be difficult.","Check the pronunciation in the dictionary.","B1"
"AllEnglish::LEP::EP0908","accent","","","noun","","[ˈæksɛnt]","","A distinctive mode of pronunciation of a language, especially one associated with a particular nation, locality, or social class.","He has a strong Scottish accent.","I love her French accent.","He tried to hide his accent.","B1"
"AllEnglish::LEP::EP0908","dialect","","","noun","","[ˈdaɪəlɛkt]","","A particular form of a language that is peculiar to a specific region or social group.","They speak a local dialect.","The dialect uses different words.","It is difficult to understand the dialect.","B2"
"AllEnglish::LEP::EP0908","slang","","","noun","","[slæŋ]","","A type of language that consists of words and phrases that are regarded as very informal, are more common in speech than writing, and are typically restricted to a particular context or group of people.","Teenagers use a lot of slang.","'Quid' is slang for 'pound'.","He uses too much slang.","B2"
"AllEnglish::LEP::EP0908","prescriptive","","","adjective","Linguistics","[prɪˈskrɪptɪv]","","Relating to the imposition or enforcement of a rule or method (telling people how to speak).","Prescriptive grammar tells you what is 'correct'.","He takes a prescriptive approach to language.","Prescriptive rules are often ignored.","C2"
"AllEnglish::LEP::EP0908","descriptive","","","adjective","Linguistics","[dɪˈskrɪptɪv]","","Seeking to describe a language as it is used objectively (describing how people actually speak).","Descriptive linguistics studies how language is used.","A descriptive dictionary includes slang.","He prefers a descriptive approach.","C2"
