#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
AllEnglish::LEP::EP0989,Word,Part of Speech,Grammar,Pronunciation/IPA,Definition,Example 1,Example 2,Example 3,Tags
"AllEnglish::LEP::EP0989","desperately","adverb","","/ˈdespərətli/","In a way that shows a great need or desire.","Your body desperately needs sleep every day.","They are desperately seeking a solution to the problem.","She desperately wanted to win the competition.","B2"
"AllEnglish::LEP::EP0989","lose your mind","idiom","","/luːz jɔː maɪnd/","To become crazy or mentally ill.","If you don't sleep for a week, you would probably completely lose your mind.","Are you going to walk all the way there? Have you lost your mind?","I feel like I'm losing my mind with all this stress.","C1"
"AllEnglish::LEP::EP0989","hallucination","noun","countable/uncountable","/həˌluːsɪˈneɪʃn/","An experience involving the apparent perception of something not present.","You risk total hallucinations if you skip sleep.","The medicine can cause vivid hallucinations.","He suffered from terrifying hallucinations during his illness.","C1"
"AllEnglish::LEP::EP0989","fall to pieces","idiom","","/fɔːl tə ˈpiːsɪz/","To lose control of your emotions or mental state.","Even after not sleeping for one night, you kind of fall to pieces.","Her life seemed to fall to pieces after the divorce.","The argument was so flawed it just fell to pieces.","C1"
"AllEnglish::LEP::EP0989","encounter","verb","transitive","/ɪnˈkaʊntə/","To meet someone or experience something unexpectedly.","How often do you encounter long words?","We encountered several problems during the project.","He encountered his former boss at the conference.","B2"
"AllEnglish::LEP::EP0989","prospect","noun","countable/uncountable","/ˈprɒspekt/","The possibility or likelihood of some future event occurring.","You'd be terrified of the prospect of it sticking to the roof of your mouth.","The prospect of losing his job frightened him.","Is there any prospect of the weather improving?","B2"
"AllEnglish::LEP::EP0989","carving knife","noun","countable","/ˈkɑːvɪŋ naɪf/","A large knife used for slicing cooked meat.","The farmer's wife cuts off their tails with a carving knife.","He sharpened the carving knife before slicing the turkey.","She bought a new carving knife for Sunday roasts.","B2"
"AllEnglish::LEP::EP0989","cruel","adjective","","/kruːəl/","Willfully causing pain or suffering to others, or feeling no concern about it.","It's very cruel. What a strange song.","It is cruel to keep animals in such small cages.","The dictator was known for his cruel punishments.","B2"
"AllEnglish::LEP::EP0989","arguably","adverb","","/ˈɑːɡjuəbli/","Used when stating an opinion or belief that you think can be shown to be true.","Three blind mice is arguably the strangest one.","He is arguably the best player on the team.","This is arguably the most important decision we have to make.","C1"
"AllEnglish::LEP::EP0989","deep-fry","verb","transitive","/ˌdiːp ˈfraɪ/","To cook food by totally submerging it in hot fat or oil.","The oil boils the poor mouse, it deep fries it.","I decided to deep-fry the chicken for extra crispiness.","Deep-fried food is usually not very healthy.","B2"
"AllEnglish::LEP::EP0989","crunchy","adjective","","/ˈkrʌntʃi/","Firm and making a loud noise when it is eaten.","I'm imagining it somehow becomes crunchy and yet soft on the inside.","I prefer crunchy peanut butter over smooth.","She ate a crunchy apple for a snack.","B2"
"AllEnglish::LEP::EP0989","break in","verb","phrasal verb","/breɪk ɪn/","To enter a building by force, usually to steal something.","She breaks in to this person's house.","Burglars broke in while we were on holiday.","They had to break in because they lost their keys.","B2"
"AllEnglish::LEP::EP0989","porridge","noun","uncountable","/ˈpɒrɪdʒ/","A thick, soft food made from oats boiled in milk or water, eaten hot for breakfast.","There's a big bowl of porridge, a medium bowl, and a little bowl.","I have a bowl of porridge with honey every morning.","Porridge is a very traditional Scottish breakfast.","B2"
"AllEnglish::LEP::EP0989","chop off","verb","phrasal verb","/tʃɒp ɒf/","To remove something by cutting it with a sharp tool.","I don't want to have my tail chopped off.","The executioner chopped off his head.","He accidentally chopped off the end of his finger.","B2"
"AllEnglish::LEP::EP0989","nutritional","adjective","","/njuˈtrɪʃənl/","Relating to the process of providing or obtaining the food necessary for health.","It's not very high in nutritional value, is it?","The doctor gave her nutritional advice.","We need to consider the nutritional content of our meals.","B2"
"AllEnglish::LEP::EP0989","balanced diet","noun phrase","","/ˈbælənst ˈdaɪət/","A diet that contains the proper proportions of carbohydrates, fats, proteins, vitamins.","That will not provide you with all the nutrients you need for a balanced diet.","A balanced diet is essential for healthy growth.","She tries to maintain a healthy and balanced diet.","B2"
"AllEnglish::LEP::EP0989","keel over","verb","phrasal verb","/kiːl ˈəʊvə/","To fall over suddenly, especially because you feel ill.","You'd get to about 30 years old and then you'd just keel over.","He suddenly keeled over in the middle of the street.","If I don't drink some water soon, I might keel over.","C1"
"AllEnglish::LEP::EP0989","topping","noun","countable","/ˈtɒpɪŋ/","A layer of food poured or spread over a base of a different type of food.","If pizza could have any topping, what would you put on it?","I like my ice cream with a chocolate topping.","What toppings do you want on your pizza?","B2"
"AllEnglish::LEP::EP0989","incorporate","verb","transitive","/ɪnˈkɔːpəreɪt/","To include something as part of something larger.","You're incorporating chocolate into the bread.","The new design incorporates all the latest safety features.","We will incorporate your suggestions into the final draft.","C1"
"AllEnglish::LEP::EP0989","approach","noun","countable","/əˈprəʊtʃ/","A way of considering or doing something.","My approach to pizza is just keep it simple.","We need to adopt a new approach to the problem.","Her approach to teaching is very innovative.","B2"
"AllEnglish::LEP::EP0989","relish","noun","uncountable/countable","/ˈrelɪʃ/","A type of sauce containing chopped vegetables or fruit eaten with meat or cheese.","Burger, bread, cheese, relish. What's relish?","I'd like some hot dog with onion relish.","She added a spoonful of tomato relish to her plate.","C1"
"AllEnglish::LEP::EP0989","drift","verb","intransitive","/drɪft/","To move slowly, especially as a result of outside forces, with no control.","You'd just be drifting out into space.","The empty boat drifted out to sea.","The clouds drifted across the sky.","B2"
"AllEnglish::LEP::EP0989","transparent","adjective","","/trænsˈpærənt/","Allowing light to pass through so that objects behind can be distinctly seen.","There's like a transparent layer protecting the Earth.","The box is made of transparent plastic.","Her motives for helping were entirely transparent.","B2"
"AllEnglish::LEP::EP0989","atmosphere","noun","countable","/ˈætməsfɪə/","The envelope of gases surrounding the earth or another planet.","The atmosphere of Earth is actually very thick.","The spaceship burned up as it re-entered the earth's atmosphere.","There is no atmosphere on the moon.","B2"
"AllEnglish::LEP::EP0989","vacuum","noun","countable","/ˈvækjuəm/","A space that is completely empty of all matter.","Space doesn't have an atmosphere, it's a vacuum.","Sound cannot travel in a vacuum.","The food is packed in a vacuum to keep it fresh.","C1"
"AllEnglish::LEP::EP0989","radioactive","adjective","","/ˌreɪdiəʊˈæktɪv/","Emitting or relating to the emission of ionizing radiation.","The atmosphere filters out radioactive waves from the sun.","Uranium is a radioactive material.","They had to clean up the radioactive waste carefully.","B2"
"AllEnglish::LEP::EP0989","friction","noun","uncountable","/ˈfrɪkʃn/","The resistance that one surface or object encounters when moving over another.","There's a lot of friction as it rubs up against the air.","Applying oil to the gears reduces friction.","There was a lot of friction between the two colleagues.","C1"
"AllEnglish::LEP::EP0989","asteroid","noun","countable","/ˈæstərɔɪd/","A small rocky body orbiting the sun.","Probably it's an asteroid entering the Earth's atmosphere.","Scientists are tracking a large asteroid.","Most asteroids are found in the belt between Mars and Jupiter.","B2"
"AllEnglish::LEP::EP0989","meteor","noun","countable","/ˈmiːtiə/","A piece of rock from space that produces a bright light as it travels through the Earth's atmosphere.","These are what we call meteors.","We saw a brilliant meteor shower last night.","The meteor left a glowing trail in the sky.","B2"
"AllEnglish::LEP::EP0989","trail","noun","countable","/treɪl/","A line or series of marks left by someone or something passing.","It popped down beneath the clouds and left a trail of smoke.","The snail left a shiny trail on the patio.","They followed the trail of footprints in the snow.","B2"
"AllEnglish::LEP::EP0989","horizon","noun","singular","/həˈraɪzn/","The line at which the earth's surface and the sky appear to meet.","It just went down over the horizon.","The sun sank below the horizon.","We could see a ship far away on the horizon.","B2"
"AllEnglish::LEP::EP0989","gobsmacked","adjective","informal","/ˈɡɒbsmækt/","Utterly astonished; astounded.","We looked at each other and we were gobsmacked.","I was absolutely gobsmacked when she told me the news.","He looked completely gobsmacked by the surprise party.","C2"
"AllEnglish::LEP::EP0989","mass","noun","uncountable","/mæs/","The amount of matter in any object.","The earth is very large and it has very high mass.","The mass of Jupiter is huge compared to Earth.","In physics, mass and weight are not the same thing.","B2"
"AllEnglish::LEP::EP0989","gravitational pull","noun phrase","","/ˌɡrævɪˈteɪʃənl pʊl/","The invisible force that causes massive objects to pull other objects towards them.","All the planets orbit the sun because we're caught in its gravitational pull.","The moon's gravitational pull affects the tides on Earth.","A black hole has an immense gravitational pull.","C1"
"AllEnglish::LEP::EP0989","take over","verb","phrasal verb","/teɪk ˈəʊvə/","To assume control of something.","So maybe the ducks would take over.","The new manager will take over next month.","A large corporation tried to take over the small business.","B2"
"AllEnglish::LEP::EP0989","rule of law","noun phrase","","/ruːl əv lɔː/","The principle that all people and institutions are subject to and accountable to law.","That's basically the rule of law in the land of ducks.","The rule of law is essential for a functioning democracy.","They promised to restore the rule of law.","C1"
"AllEnglish::LEP::EP0989","anarchy","noun","uncountable","/ˈænəki/","A state of disorder due to absence or non-recognition of authority.","It would be total chaos and anarchy.","The country descended into anarchy after the revolution.","Without clear rules, the classroom was pure anarchy.","C1"
"AllEnglish::LEP::EP0989","chaos","noun","uncountable","/ˈkeɪɒs/","Complete disorder and confusion.","It would be total chaos with everyone just doing whatever they wanted.","The strike caused chaos at the airport.","His room is always in a state of chaos.","B2"
"AllEnglish::LEP::EP0989","loyalty","noun","uncountable","/ˈlɔɪəlti/","The quality of being loyal; a strong feeling of support or allegiance.","No one having any sense of loyalty to other people at all.","His loyalty to the company was unquestionable.","Customer loyalty is very important for our business.","B2"
"AllEnglish::LEP::EP0989","civilised","adjective","UK spelling","/ˈsɪvəlaɪzd/","Polite and well-mannered; having a highly developed society.","Before it was probably properly civilised.","Let's try to have a civilised conversation about this.","It's a very civilised way to travel.","B2"
"AllEnglish::LEP::EP0989","lawless","adjective","","/ˈlɔːləs/","Not governed by or obedient to laws; characterized by a lack of civic order.","It was a lawless kind of place where violence was the norm.","The rebels took control of the lawless region.","It felt like a lawless society during the blackout.","C1"
"AllEnglish::LEP::EP0989","norm","noun","singular","/nɔːm/","Something that is usual, typical, or standard.","Violence was the norm in the Wild West.","Working from home has become the norm for many people.","It is the norm to leave a tip in a restaurant.","B2"
"AllEnglish::LEP::EP0989","overconfident","adjective","","/ˌəʊvəˈkɒnfɪdənt/","Excessively confident; too sure of oneself.","The hare is overconfident.","He lost the game because he was overconfident.","You shouldn't be overconfident about the exam results.","B2"
"AllEnglish::LEP::EP0989","in the bag","idiom","informal","/ɪn ðə bæɡ/","Certain to be won, achieved, or obtained.","I've got this in the bag. I'm definitely going to win.","With five minutes left and a 3-0 lead, the game was in the bag.","Don't assume the contract is in the bag until it's signed.","C1"
"AllEnglish::LEP::EP0989","steadily","adverb","","/ˈstedəli/","In a gradual, regular, and continuous manner.","The tortoise continues to go slowly and steadily.","The company's profits have been increasing steadily.","It rained steadily all through the night.","B2"
"AllEnglish::LEP::EP0989","devastating","adjective","","/ˈdevəsteɪtɪŋ/","Highly destructive or damaging; causing severe shock or distress.","The hare was too late and loses the race. Devastating.","The storm had a devastating effect on the crops.","She received the devastating news about her father.","C1"
"AllEnglish::LEP::EP0989","sneak","verb","intransitive","/sniːk/","To move or go in a furtive or stealthy way.","I would sneak in very fast and take some food.","I managed to sneak out of the boring meeting.","He sneaked into the cinema without paying.","B2"
"AllEnglish::LEP::EP0989","squash","verb","transitive","/skwɒʃ/","To crush or squeeze (something) with force so that it becomes flat, soft, or out of shape.","Your brother would probably squash you.","I squashed the spider with a rolled-up newspaper.","Don't sit on my bag, you'll squash my sandwiches.","B2"
"AllEnglish::LEP::EP0989","crumb","noun","countable","/krʌm/","A small fragment of bread, cake, or biscuit.","Sneak into the biscuit drawer and steal crumbs.","Brush the crumbs off the table before you wash it.","There wasn't a single crumb of cake left.","B2"
"AllEnglish::LEP::EP0989","empathy","noun","uncountable","/ˈempəθi/","The ability to understand and share the feelings of another.","You would suddenly have a lot more empathy towards ants.","He felt a deep sense of empathy for the refugees.","A good doctor needs to show empathy towards patients.","C1"
"AllEnglish::LEP::EP0989","bounce","verb","intransitive","/baʊns/","To spring back after hitting a surface.","It's hard to control it, it doesn't bounce.","The ball bounced off the wall and hit a window.","Children love to bounce on the trampoline.","B2"
"AllEnglish::LEP::EP0989","burst","verb","intransitive/transitive","/bɜːst/","To break open or apart suddenly and violently, especially as a result of an impact or internal pressure.","I don't care, the balloon would burst.","The pipes burst due to the freezing weather.","He blew up the balloon until it burst.","B2"
"AllEnglish::LEP::EP0989","priceless","adjective","","/ˈpraɪsləs/","So precious that its value cannot be determined.","You think I'm so beautiful that it would be a priceless work of art.","The museum holds a collection of priceless jewels.","Her advice to me was priceless.","C1"
"AllEnglish::LEP::EP0989","chest","noun","countable","/tʃest/","A large strong box, typically made of wood and used for storage or transport.","Pulling out a big chest of treasure and opening it up.","They found an old wooden chest in the attic.","The pirates buried the treasure chest on the island.","B2"
"AllEnglish::LEP::EP0989","prevent","verb","transitive","/prɪˈvent/","To keep (something) from happening.","Everyone had to stay at home to prevent the spread of the COVID virus.","Vaccines are used to prevent diseases.","Nothing will prevent me from achieving my goals.","B2"
"AllEnglish::LEP::EP0989","spread","noun","singular/uncountable","/spred/","The fact or process of spreading over an area.","Stay at home to prevent the spread of the virus.","We need to stop the spread of fake news.","The rapid spread of the fire alarmed everyone.","B2"
"AllEnglish::LEP::EP0989","essential","adjective","","/ɪˈsenʃl/","Absolutely necessary; extremely important.","We were allowed to go out for essential shopping.","Water is essential for life.","Experience is an essential requirement for this job.","B2"
"AllEnglish::LEP::EP0989","burn off","verb","phrasal verb","/bɜːn ɒf/","To use energy by doing physical exercise.","We went out every day for a walk to basically help you burn off energy.","He runs every morning to burn off calories.","The kids need to go outside and burn off some energy.","C1"
"AllEnglish::LEP::EP0989","tell off","verb","phrasal verb","/tel ɒf/","To reprimand someone severely.","After we'd been told off by the police.","The teacher told the boy off for being late.","My mum told me off for leaving my room messy.","B2"
"AllEnglish::LEP::EP0989","put off","verb","phrasal verb","/pʊt ɒf/","To postpone or delay an action or event.","You have the ability to wait or to put off until later.","They had to put off the meeting until next week.","Don't put off doing your homework until the last minute.","B2"
"AllEnglish::LEP::EP0989","delay gratification","phrase","","/dɪˈleɪ ˌɡrætɪfɪˈkeɪʃn/","To resist the temptation of an immediate reward in preference for a later reward.","You have the ability to delay gratification until later.","Learning to delay gratification is important for children.","Those who can delay gratification often achieve long-term success.","C2"
"AllEnglish::LEP::EP0989","sophisticated","adjective","","/səˈfɪstɪkeɪtɪd/","Having, revealing, or involving a great deal of worldly experience and knowledge of fashion and culture; complex.","I don't think dogs dream about very sophisticated things.","She wore a very sophisticated black dress.","The software uses a highly sophisticated algorithm.","C1"
"AllEnglish::LEP::EP0989","diplomatic","adjective","","/ˌdɪpləˈmætɪk/","Having or showing an ability to deal with people in a sensitive and tactful way.","Sometimes we have to lie to be diplomatic.","He was very diplomatic when he delivered the bad news.","A good manager needs to be diplomatic during conflicts.","C1"
"AllEnglish::LEP::EP0989","bid farewell","phrase","formal","/bɪd ˌfeəˈwel/","To say goodbye.","Until next time, I will bid you farewell.","It was sad to bid farewell to all my colleagues.","He raised a glass to bid farewell to his friends.","C2"
"AllEnglish::LEP::EP0989","ramble","verb","intransitive","/ˈræmbl/","To talk or write at length in a confused or inconsequential way.","No need for me to ramble anymore.","He started to ramble on about his childhood.","Sorry for rambling, let me get to the point.","C1"
