#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:15
A2[|!w(%MQ	JPCARDS	LEP::P001	farce	8f4e1a2b	1	noun		/fɑːs/		A ridiculous situation or event; especially a comedy based on unlikely situations	Terry &amp; June was a suburban farce	The meeting turned into a complete farce	The whole situation became an absolute farce	duplicate
t)YKFJepyK	JPCARDS	LEP::P003	berserk	6c5d4e3b	14	adjective	informal	/bəˈzɜːk/		Extremely excited or angry; out of control	Some people are completely berserk over them	The crowd went berserk	He went berserk when he heard the news	duplicate
EJ<<4,$J@]	JPCARDS	LEP::P003	tedious	2d1c0b9a	18	adjective		/ˈtiːdiəs/		Boring and too long	Can you imagine how tedious it must be?	The meeting was becoming tedious	It was a tedious journey	duplicate
z8AkapB5=8	JPCARDS	LEP::P003	on duty	1c0b9a8d	19	phrase		/ɒn ˈdjuːti/		Working or being responsible at a particular time	Always being on duty must be exhausting	She's on duty this weekend	The doctor is on duty tonight	duplicate
ihN~Tbfp%K	JPCARDS	LEP::P004	abomination	7e5f8d2c	3	noun		/əˌbɒmɪˈneɪʃən/		Something completely unacceptable or horrible	Spaghetti Bolognese is like an abomination	Shooting animals for fun is an abomination	That performance was an abomination	duplicate
"D+k#gW^c3["	JPCARDS	LEP::P004	gutted	3a6b9c1d	7	adjective	informal	/ˈɡʌtɪd/		Very disappointed	You must have been gutted	I was really gutted about the results	She was gutted when she didn't get the job	duplicate
KH<aGWSuc_	JPCARDS	LEP::P004	astonishing	9e8d7c6b	11	adjective		/əˈstɒnɪʃɪŋ/		Amazing or surprisingly impressive	The crowds there were astonishing	She made astonishing progress	It was an astonishing performance	duplicate
K3FYz*JloA	JPCARDS	LEP::P004	sore	7d6e5f4c	13	adjective		/sɔː/		Painful, especially from use or injury	My legs were very sore	His feet were sore from walking	The muscles were sore after exercise	duplicate
"p#3m0V4BV%"	JPCARDS	LEP::P004	hamstring	6c5d4e3b	14	noun		/ˈhæmstrɪŋ/		One of the tendons behind the knee	He pulled his hamstring	The hamstring injury was severe	Stretching helps prevent hamstring injuries	duplicate
KuUt}Yg}$^	JPCARDS	LEP::P004	tendon	4a3b2c1d	16	noun		/ˈtendən/		Tissue connecting muscle to bone	The tendon was inflamed	He damaged his Achilles tendon	Tendons take time to heal	duplicate
F;n;u.}O)V	JPCARDS	LEP::P004	ligament	3e2d1c0b	17	noun		/ˈlɪɡəmənt/		Tissue connecting bone to bone	She tore a ligament	The knee ligaments were damaged	Ligament injuries are common in sports	duplicate
eI[]m;,={N	JPCARDS	LEP::P004	ache	1a2b3c4d	21	noun/verb		/eɪk/		Continuous, dull pain	My legs ached after running	She had a headache	His muscles were aching	duplicate
mgGW2qk+%x	JPCARDS	LEP::P004	bruised	3c4d5e6f	23	adjective		/bruːzd/		Having a dark mark from an injury	My knee was badly bruised	The fruit was bruised	He had a bruised shoulder	duplicate
HoT<k$?EKV	JPCARDS	LEP::P004	inflamed	4d5e6f7g	24	adjective		/ɪnˈfleɪmd/		Swollen and painful due to injury or infection	The muscle was inflamed	Her joints were inflamed	The inflamed tissue needed rest	duplicate
KI/(yvp>6w	JPCARDS	LEP::P004	swollen	5e6f7g8h	25	adjective		/ˈswəʊlən/		Enlarged, usually due to injury or illness	His ankle was swollen	The knee became swollen	She had swollen glands	duplicate
Ly!(kAKV`}	JPCARDS	LEP::P005	get involved	7e5f8d2c	3	phrasal verb		/ɡet ɪnˈvɒlvd/		To actively participate in something	Get involved in the comment section	She got involved in local politics	They got involved in community projects	duplicate
tW(KIRWNxZ	JPCARDS	LEP::P005	outclass	8h9i0j1k	38	verb		/aʊtˈklɑːs/		To be clearly superior to	They completely outclassed us	The team was outclassed	She outclassed all other candidates	duplicate
Dgr:Cd?&%u	JPCARDS	LEP::P005	debatable	4n5o6p7q	44	adjective		/dɪˈbeɪtəbl/		Open to discussion or argument	That's highly debatable	The decision was debatable	It's debatable whether that's true	duplicate
cU(yBVinSB	JPCARDS	LEP::P005	biased	5o6p7q8r	45	adjective		/ˈbaɪəst/		Unfairly prejudiced for or against something	The referee was biased	That's a biased opinion	The media can be biased	duplicate
L*.M|1(bK$	JPCARDS	LEP::P005	overtake	8r9s0t1u	48	verb		/ˌəʊvəˈteɪk/		To catch up with and pass while moving	The car overtook us	She overtook the leader	They overtook their competitors	duplicate
rz0[xcV`VV	JPCARDS	LEP::P005	take over	7q8r9s0t	47	phrasal verb		/teɪk ˈəʊvə/		To assume control or responsibility	The new manager took over	They took over the company	She took over the project	duplicate
bf^AG~$puC	JPCARDS	LEP::P005	takeover	4d5e6f7g	24	noun		/ˈteɪkəʊvə/		The act of assuming control, especially of a company	The company takeover was successful	A hostile takeover attempt	The takeover will be completed next month	duplicate
fYJIH}Xf8z	JPCARDS	LEP::P006	doable	5d7e2f1a	5	adjective		/ˈduːəbl/		Possible to do or achieve	The project is doable within a month	It's a challenging but doable task	The deadline is tight but doable	duplicate
qn;UF={Ofc	JPCARDS	LEP::P006	in theory	8f7e6d5c	12	prepositional phrase		/ɪn ˈθɪəri/		According to theoretical principles; hypothetically	In theory, the plan should work	It sounds good in theory	In theory, everyone has equal opportunities	duplicate
c),0g(h:MY	JPCARDS	LEP::P006	in practice	7d6e5f4c	13	prepositional phrase		/ɪn ˈpræktɪs/		In reality; when actually done	In practice, things are more complicated	It works well in practice	In practice, the system has many flaws	duplicate
EZKYN$BH$|	JPCARDS	LEP::P006	off the top of my head	5b4c3d2a	15	idiom		/ɒf ðə tɒp əv maɪ hed/		Without preparation or careful thought	I can't remember off the top of my head	Speaking off the top of my head	Just off the top of my head, I'd say...	duplicate
H_Qg8.Fg;;	JPCARDS	LEP::P006	on the spur of the moment	4a3b2c1d	16	idiom		/ɒn ðə spɜː əv ðə ˈməʊmənt/		Suddenly, without planning	We decided to travel on the spur of the moment	She bought it on the spur of the moment	He proposed on the spur of the moment	duplicate
s^ebXFTl/m	JPCARDS	LEP::P006	at a loss	2d1c0b9a	18	phrase		/æt ə lɒs/		Unable to understand or decide what to do	I'm at a loss for words	She was at a loss to explain	They were at a loss about what to do next	duplicate
B*(4kQ)Ozi	JPCARDS	LEP::P006	feasible	2l3m4n5o	32	adjective		/ˈfiːzəbl/		Possible to do; practicable	The project seems feasible	It's a feasible solution	The plan is technically feasible	duplicate marked
m^%rdUv&/!	JPCARDS	LEP::P006	antagonistic	3m4n5o6p	33	adjective		/ænˌtæɡəˈnɪstɪk/		Showing or feeling opposition or hostility	He had an antagonistic attitude	Don't be antagonistic	The response was rather antagonistic	duplicate
Nl);~A:UpS	JPCARDS	LEP::P006	tour guide	1e2f3g4h	51	noun phrase		/tʊə ɡaɪd/		Person who shows tourists around	The tour guide was knowledgeable	Book a tour guide	Following the tour guide	duplicate
dq$7j!L-SG	JPCARDS	LEP::P-Pinsects	make a beeline for	6c5d4e3b	14	idiom		/meɪk ə ˈbiːlaɪn fɔː/		To go directly towards something	He made a beeline for the buffet	She made a beeline for the sales rack	The kids made a beeline for the playground	duplicate
dw/g.8S:7A	JPCARDS	LEP::EP0536	instant gratification	4b8c1d2e	6	noun phrase		/ˈɪnstənt ˌɡrætɪfɪˈkeɪʃən/		Immediate reward or satisfaction	Language learning isn't about instant gratification	People often seek instant gratification	Avoid the trap of instant gratification	duplicate
"p#?9(?cr$Z"	JPCARDS	LEP::EP0536	be-all and end-all	6c5d4e3b	14	idiom		/bi ɔːl ænd end ɔːl/		The most important aspect of something	Grammar isn't the be-all and end-all	Don't treat rules as the be-all and end-all	Vocabulary isn't the be-all and end-all	duplicate
"M7cL08fW#q"	JPCARDS	LEP::EP0536	go all in	0b9a8d7e	20	phrasal verb		/ɡəʊ ɔːl ɪn/		Commit completely to something	You need to go all in with language learning	She decided to go all in	Going all in brings better results	duplicate
xnQIk<!@<B	JPCARDS	LEP::EP0536	proven track record	4d5e6f7g	24	noun phrase		/ˈpruːvən træk ˈrekɔːd/		History of proven success or achievement	He has a proven track record in language learning	A proven track record of results	The method has a proven track record	duplicate
eFqx5K<;A!	JPCARDS	LEP::EP0536	make the most of	5e6f7g8h	25	phrasal verb		/meɪk ðə məʊst əv/		Use something to its full advantage	Make the most of learning resources	How to make the most of podcasts	Make the most of your study time	duplicate
Ob|)$a(<od	JPCARDS	LEP::EP0536	from scratch	0j1k2l3m	30	phrase		/frɒm skrætʃ/		From the very beginning	Starting to learn Italian from scratch	Building vocabulary from scratch	Learning a language from scratch	duplicate
"G<(^quE#6Q"	JPCARDS	LEP::P005	hijack	9s0t1u2v	49	verb		/ˈhaɪdʒæk/		To take control of something by force	Pirates hijacked the ship	Terrorists tried to hijack the plane	The meeting was hijacked by other issues	duplicate
OqoV,Qf~bj	JPCARDS	LEP::P010	mercilessly	uuid-placeholder-2	uid-placeholder-2	adverb		 /ˈmɜːsɪləsli/		without mercy; without pity or kindness.	I have to make sure I get this right or they're all going to take the piss out of me mercilessly, because that's what English lads do.	This means 'without mercy'.	If you add it to 'take the piss mercilessly' it means to do it with no mercy at all.	duplicate
"b^--3D#{a`"	JPCARDS	LEP::P010	lenient	uuid-placeholder-3	uid-placeholder-3	adjective	Collocates with 'on' (to be lenient on someone)	 /ˈliːniənt/		the opposite of strict; not as severe as expected.	Some people thought they were lenient on me at the university but I think I was just working hard.	The judge was accused of being too lenient on the car thieves.	He was lucky to get quite a lenient sentence from the judge.	duplicate
w(3kMEM0f[	JPCARDS	LEP::P010	pay off	uuid-placeholder-6	uid-placeholder-6	phrasal verb		 /peɪ ɒf/		to result in benefits later.	You had this advantage of having had this difficult experience which was paying off for you.	I took the time to study grammar, and now it's paying off.	If you work hard now, it'll pay off later.	duplicate
-s2oVBk$	JPCARDS	LEP::P010	complement	uuid-placeholder-11	uid-placeholder-11	verb	Homophone: compliment	 /ˈkɒmplɪment/		to go well with something else; to match.	This tie complements that suit really well.	The colours complement each other nicely.	Native and non-native English teachers complement each other well.	duplicate
MCcQJMD{NT	JPCARDS	LEP::P010	compliment	uuid-placeholder-12	uid-placeholder-12	verb/noun	Homophone: complement	 /ˈkɒmplɪment/		(verb) to say something positive to someone; to praise. (noun) a polite expression of praise or admiration.	Everyone complimented me on my pronunciation.	Being compared to Louis Theroux is a great compliment.	It's very flattering to be paid so many compliments.	duplicate
rW]HOU<EP}	JPCARDS	LEP::P010	complimentary	uuid-placeholder-13	uid-placeholder-13	adjective		 /ˌkɒmplɪˈmentri/		praising or expressing admiration; also means 'given for free'.	They made so many complimentary comments.	All of our guests receive a complimentary bottle of wine.	The adjective 'complimentary' can also mean 'given free'.	duplicate
pYzsKAY06.	JPCARDS	LEP::P010	kudos	uuid-placeholder-16	uid-placeholder-16	noun	uncountable	 /ˈkjuːdɒs/		praise and respect for an achievement.	Kudos to you for being so respectful.	It's 'much kudos', like 'much respect', or just 'kudos to him/her/you/them'.	I'd like to give kudos to anyone who learns another language to fluency in adulthood.	duplicate
"G(_N#klz(I"	JPCARDS	LEP::P010	unassuming	uuid-placeholder-17	uid-placeholder-17	adjective		 /ˌʌnəˈsjuːmɪŋ/		modest, not pretentious or arrogant.<br><br>modesto	He's very unassuming, he's very nice.	One of the things a lot of them said is that they preferred men who were unassuming.	It means modest, but it also means that they're not assuming that anything will happen.	duplicate
u]N&V_gwwk	JPCARDS	LEP::P010	let your guard down	uuid-placeholder-18	uid-placeholder-18	idiom		 /let jɔː gɑːd daʊn/		to relax and stop being careful and defensive.	When these people let their guards down, they show themselves for who they really are.	If you let your guard down you might get punched!	What does it take for you to let your guard down?	duplicate
iWB:wZF.!1	JPCARDS	LEP::P010	landlocked	uuid-placeholder-20	uid-placeholder-20	adjective		 /ˈlændlɒkt/		(of a country) surrounded by land with no coastline.	We are a landlocked country.	The Czech Republic is a completely landlocked country.	Can you think of any landlocked countries?	duplicate
yaEL>^G].u	JPCARDS	LEP::P010	drought	uuid-placeholder-21	uid-placeholder-21	noun		 /draʊt/		a long period of time when there is little or no rain.	There was a terrible drought in summer here.	Droughts cause water shortages and crop failures.	Does your country suffer from droughts?	duplicate
u;0T!r~qZy	JPCARDS	LEP::P010	stick with you	uuid-placeholder-23	uid-placeholder-23	phrasal verb		 /stɪk wɪð juː/		to be remembered for a long time.	Is there something that stuck with you from the dissertation you did?	The film really stuck with me.	He said something to me on my wedding day and it has stuck with me ever since.	duplicate
EfLOu=cY4t	JPCARDS	LEP::P010	fantastic	uuid-placeholder-24	uid-placeholder-24	adjective	strong adjective	 /fænˈtæstɪk/		extremely good.	A fantastic goal.	That was an absolutely fantastic goal.	It was a fantastic show.	duplicate
wqsn1w3C_M	JPCARDS	LEP::P010	superb	uuid-placeholder-25	uid-placeholder-25	adjective	strong adjective	 /suːˈpɜːb/		of the highest quality; grand; splendid.	A superb challenge.	That was an absolutely superb challenge by Maguire!	The car's in superb condition.	duplicate
dl_]q0+{y&	JPCARDS	LEP::P010	magnificent	uuid-placeholder-26	uid-placeholder-26	adjective	strong adjective	 /mæɡˈnɪfɪsnt/		extremely beautiful, elaborate, or impressive.	A magnificent free kick.	And it was another magnificent free kick by Beckham.	She looked magnificent in her wedding dress.	duplicate
"N,A/-IF:#}"	JPCARDS	LEP::P010	majestic	uuid-placeholder-27	uid-placeholder-27	adjective	strong adjective	 /məˈʤestɪk/		having or showing impressive beauty or dignity.	A majestic cross.	It was a majestic cross there from Nigel.	The majestic Rocky Mountains.	duplicate
yFuohl9&t$	JPCARDS	LEP::P010	breathtaking	uuid-placeholder-28	uid-placeholder-28	adjective	strong adjective	 /ˈbreθteɪkɪŋ/		astonishing or awe-inspiring in quality, so as to take one's breath away.	A breathtaking start to the season.	That was an absolutely breathtaking start to the season for Thompson.	The view from the top of the mountain is breathtaking.	duplicate
gX=9Hl=*bb	JPCARDS	LEP::P010	underperform	uuid-placeholder-34	uid-placeholder-34	verb		 /ˌʌndəpəˈfɔːm/		to perform below expectations or standards.	I thought I would underperform or I would never live up to my potential.	England underperformed against Croatia and got knocked out of the World Cup.	In fact, England usually underperform in international football tournaments.	duplicate
K]f1<33%WL	JPCARDS	LEP::P010	hiccup	uuid-placeholder-37	uid-placeholder-37	noun		 /ˈhɪkʌp/		a small problem or temporary delay; also the sound you make when you have hiccups.	Of course there were hiccups and times when I felt down.	When you start up a new business there might be a few hiccups.	The LEP app works pretty well, except for a few hiccups here and there.	duplicate
pwnp@H3@Or	JPCARDS	LEP::P010	threshold	uuid-placeholder-42	uid-placeholder-42	noun		 /ˈθreʃhəʊld/		the level or point at which something starts to happen or change. Also the floor of an entrance to a building.	There's a threshold.	If you get through those and keep going - you've passed the threshold into being a long-term LEPster.	Do you have a high pain threshold?	duplicate
BuJwIHK[ul	JPCARDS	LEP::P010	uniqueness	uuid-placeholder-43	uid-placeholder-43	noun		 /juːˈniːknəs/		the quality of being the only one of its kind.	You start to lose some uniqueness and you lose some edge.	USP = unique selling point(s).	What is the uniqueness of your project?	duplicate
HB-A@;)cPb	JPCARDS	LEP::P010	edge	uuid-placeholder-44	uid-placeholder-44	noun		 /eʤ/		an advantage over other people. Also the outer or furthest point of something.	You start to lose some uniqueness and you lose some edge.	Muhammad Ali's speed and footwork gave him a huge edge over his competitors.	Don't go too close to the edge, you might fall off.	duplicate
M9W??FOR(j	JPCARDS	LEP::P010	actually	uuid-placeholder-47	uid-placeholder-47	adverb	Common false friend: does not mean 'now'.	 /ˈækʧuəli/		in fact; really.	Where do you actually live?	I just included this because I wanted to remind you that actually doesn't mean 'now'. It means in fact.	Whereabouts do you live in your country, actually?	duplicate
i`hp:P1Q(x	JPCARDS	LEP::P010	harsh	uuid-placeholder-49	uid-placeholder-49	adjective		 /hɑːʃ/		extremely unkind or severe (used for weather, criticism, conditions).	We haven't had any harsh winters.	An unusually harsh winter.	The prisoners were subjected to harsh treatment.	duplicate
IHmXKc*oSk	JPCARDS	LEP::P010	mild	uuid-placeholder-50	uid-placeholder-50	adjective		 /maɪld/		not severe or strong; gentle (used for weather, flavour, temperament).	A surprisingly mild start to the year.	We had a mild winter this year.	He has a very mild temperament.	duplicate
lB9eP$o=7*	JPCARDS	LEP::P010	sweltering	uuid-placeholder-51	uid-placeholder-51	adjective		 /ˈsweltərɪŋ/		uncomfortably hot.	A particularly sweltering summer.	It was a sweltering day in August.	I can't sleep in this sweltering heat.	duplicate
qUe]9.Xi7c	JPCARDS	LEP::P010	so-called	uuid-placeholder-53	uid-placeholder-53	adjective		 /ˌsəʊˈkɔːld/		used to show that you think a word or phrase used to describe someone or something is not suitable or not true.	They have all kinds of so-called evidence.	It was one of his so-called friends that supplied him with the drugs that killed him.	He calls them 'so-called' experts because he thinks they're not really experts.	duplicate
k5?sDnUR=A	JPCARDS	LEP::P010	reprimand	uuid-placeholder-59	uid-placeholder-59	verb		 /ˈreprɪmɑːnd/		to express to someone your strong official disapproval of them.	If you do something wrong and someone gets angry with you, and they reprimand you for it, it means that they tell you off.	He was reprimanded by his boss for being late.	She was reprimanded for her unprofessional behaviour.	duplicate
i|w6~ww..>	JPCARDS	LEP::P010	dubious	uuid-placeholder-60	uid-placeholder-60	adjective		 /ˈdjuːbiəs/		thought not to be completely true or honest; doubtful.	They try to overwhelm me with all sorts of ideas based on very dubious so-called evidence.	I'm dubious about his promises to change.	These claims are dubious and not scientifically proven.	duplicate
G}I`qL!o%8	JPCARDS	LEP::P010	bleak	uuid-placeholder-61	uid-placeholder-61	adjective		 /bliːk/		(of a situation) not encouraging or hopeful; (of the weather) cold and miserable.	An unusually bleak winter.	The economic outlook is bleak.	The house stands on a bleak, windswept hilltop.	duplicate
mvVkHT|[8$	JPCARDS	LEP::P010	paranoid	uuid-placeholder-66	uid-placeholder-66	adjective		 /ˈpærənɔɪd/		feeling that you cannot trust other people and that they are trying to harm you.	I didn't insult them or get angry, or call them paranoid and delusional nutters.	He's getting paranoid about what other people are saying about him.	You're just being paranoid.	duplicate
"s?#QP~HKGu"	JPCARDS	LEP::P010	delusional	uuid-placeholder-67	uid-placeholder-67	adjective		 /dɪˈluːʒənl/		believing things that are not true.	I didn't insult them or get angry, or call them paranoid and delusional nutters.	Delusional people believe things that are not based in reality.	He is suffering from delusional beliefs.	duplicate
E7/!l%w0,A	JPCARDS	LEP::P010	nutter	uuid-placeholder-68	uid-placeholder-68	noun	informal, offensive	 /ˈnʌtə/		a crazy or eccentric person.	I didn't insult them or get angry, or call them paranoid and delusional nutters.	He was a bit of a nutter, but harmless.	Don't listen to him, he's a complete nutter.	duplicate
I6<0mZ)Npt	JPCARDS	LEP::P010	snigger	uuid-placeholder-74	uid-placeholder-74	verb		 /ˈsnɪgə/		to laugh in a quiet and disrespectful way.	This might make you snigger or maybe to crack up.	They sniggered at the teacher's old-fashioned clothes.	I heard someone snigger behind me.	duplicate
Pj^zo5F%Zw	JPCARDS	LEP::P010	colloquial	uuid-placeholder-86	uid-placeholder-86	adjective		 /kəˈləʊkwiəl/		(of language) used in ordinary or familiar conversation; not formal or literary.	It is unconventional and sounds very colloquial.	'Mate' is a colloquial term for a friend in British English.	She uses a lot of colloquial expressions in her writing.	duplicate
bWuL^}$,Ht	JPCARDS	LEP::EP0938	profound	uuid-placeholder-2	uid-placeholder-2	adjective		 /prəˈfaʊnd/		(of a state, quality, or emotion) very great or intense; having or showing great knowledge or insight.	People praise it for the quality of the humour, but also for the way it deals with such profound and serious subject matter.	He had a profound sense of sadness.	Her speech made a profound impact on everyone.	duplicate
P7Lk/PHV|0	JPCARDS	LEP::EP0938	controversial	uuid-placeholder-4	uid-placeholder-4	adjective		 /ˌkɒntrəˈvɜːʃəl/		causing disagreement or discussion.	This is a film that was controversial when it was first released.	The book was very controversial.	He is a controversial figure in politics.	duplicate
b/5[x5p}&v	JPCARDS	LEP::EP0938	mock	uuid-placeholder-6	uid-placeholder-6	verb		 /mɒk/		to laugh at someone or something in an unkind way.	People felt that it mocked Jesus.	She mocked his accent.	He's always mocking my decisions.	duplicate
kJ([e0H0.?	JPCARDS	LEP::EP0938	in-depth	uuid-placeholder-7	uid-placeholder-7	adjective		 /ɪnˈdepθ/		very detailed, thorough, and complete.	If a long in-depth conversation about one of the highest rated British comedy films of all time is something that appeals to you, then listen on.	We had an in-depth discussion about the issue.	The book provides an in-depth analysis of the war.	duplicate
ijWMQemEHL	JPCARDS	LEP::EP0938	uneven	uuid-placeholder-11	uid-placeholder-11	adjective		 /ʌnˈiːvən/		not regular, consistent, or equal in quality.	I've always found the TV show to be very uneven.	His performance was uneven.	The quality of the essays was uneven.	duplicate
FSqyd-ZIQ:	JPCARDS	LEP::EP0938	haphazard	uuid-placeholder-13	uid-placeholder-13	adjective		 /hæpˈhæzəd/		having no particular order or plan; not organized.<br><br>fortuito, casual, accidental	The quest for the Grail is very haphazard.	The investigation seemed haphazard.	His notes were a haphazard collection of doodles and ideas.	duplicate
h_F}VW>y64	JPCARDS	LEP::EP0938	lofty	uuid-placeholder-16	uid-placeholder-16	adjective		 /ˈlɒfti/		(of a thought, aim, etc.) noble; idealistic. Also, physically high.	They didn't understand why in biblical epics everyone spoke in lofty voices and spoke about lofty things.	He had lofty ambitions.	The cathedral has a lofty ceiling.	duplicate
eScC]eYb{8	JPCARDS	LEP::EP0938	implicate	uuid-placeholder-20	uid-placeholder-20	verb		 /ˈɪmplɪkeɪt/		to show (someone) to be involved in a crime or wrongdoing.	So he almost implicates himself.	The evidence implicated him in the robbery.	He refused to implicate his friends.	duplicate
yZ8hk=0qD4	JPCARDS	LEP::EP0938	evade	uuid-placeholder-21	uid-placeholder-21	verb		 /ɪˈveɪd/		to escape or avoid, especially by cleverness or trickery.	For a particular reason to evade the Romans.	He managed to evade capture.	She tried to evade the question.	duplicate
"Ff:a]}qPR#"	JPCARDS	LEP::EP0938	get by	uuid-placeholder-24	uid-placeholder-24	phrasal verb		 /get baɪ/		to manage to live or do a particular thing using just the money, knowledge, equipment, etc. that you have.<br><br>Arreglárselas 	Brian's story, he's just kind of like, just trying to get by.	We don't have much money, but we get by.	I can get by in French.	duplicate
gZ9D;^}Rw@	JPCARDS	LEP::EP0938	can't stand	uuid-placeholder-25	uid-placeholder-25	idiom		 /kɑːnt stænd/		to strongly dislike someone or something.	He can't stand the Romans.	I can't stand the way he chews his food.	She can't stand her new boss.	duplicate
izAcGZQKL%	JPCARDS	LEP::EP0938	framing	uuid-placeholder-29	uid-placeholder-29	noun		 /ˈfreɪmɪŋ/		the way an issue is posed or a story is told, which can influence judgments and decisions<br><br>enmarcado, encuadrado 	I mean, we use framing in life coaching, but it's so big now, the way that comments and things people say are framed.	The framing of the question can influence the answer.	It's all about the framing of the debate.	duplicate
xI[(c7e(]?	JPCARDS	LEP::EP0938	get pissed	uuid-placeholder-31	uid-placeholder-31	slang	British	 /get pɪst/		to get drunk.	I want to see girls and go off and get pissed.	They went to the pub to get pissed.	He got pissed at the party last night.	duplicate
